,ISIN,Wertpapiername,Ticker
0,US0028241000,ABBOTT LABS,ABT
1,US00724F1012,ADOBE INC.,ADBE
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN
7,US0378331005,APPLE INC.,AAPL
8,US0382221051,APPLIED MATERIALS INC.,AMAT
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF
11,US0494681010,ATLASSIAN CORP. CL.A,TEAM
12,US0527691069,AUTODESK INC.,ADSK
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU
14,CA0585861085,BALLARD PWR SYS,BLDP
15,DE000BASF111,BASF SE NA O.N.,BFFAF
16,DE000BAY0017,BAYER AG NA O.N.,BAYZF
17,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF
18,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM
19,US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B
20,US08862E1091,BEYOND MEAT INC.,BYND
21,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX
22,US8522341036,BLOCK INC. A,SQ
23,US11135F1012,"BROADCOM INC.     DL-,001",AVGO
24,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL
25,CNE100000296,BYD CO. LTD H        YC 1,BYDDF
26,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF
27,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN
28,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP
29,DE0005552004,DEUTSCHE POST AG NA O.N.,DPSTF
30,DE0005557508,DT.TELEKOM AG NA,DTEGF
31,DE0006095003,ENCAVIS AG  INH. O.N.,ENCVF
32,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH
33,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF
34,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS
35,US31189P1021,"FATE THERAPEUTICS DL-,001",FATE
36,DE0005785604,FRESENIUS SE+CO.KGAA O.N.,FSNUF
37,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF
38,DE0006048432,HENKEL AG+CO.KGAA VZO,HENOF
39,US4523271090,"ILLUMINA INC.      DL-,01",ILMN
40,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF
41,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG
42,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA
43,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS
44,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM
45,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH
46,IE00BTN1Y115,"MEDTRONIC PLC    DL-,0001",MDT
47,DE0007100000,MERCEDES-BENZ GRP NA O.N.,MBGAF
48,US30303M1027,"META PLATF.  A DL-,000006",META
49,US5951121038,"MICRON TECHN. INC. DL-,10",MU
50,US5949181045,"MICROSOFT    DL-,00000625",MSFT
51,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF
52,DE000A31C305,MYNARIC AG  NA O.N.,MOYFF
53,US64110L1061,"NETFLIX INC.      DL-,001",NFLX
54,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA
55,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO
56,DK0060094928,ORSTED A/S          DK 10,DOGEF
57,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB
58,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR
59,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL
60,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU
61,US79466L3024,"SALESFORCE INC.   DL-,001",CRM
62,DE0007164600,SAP SE O.N.,SAPGF
63,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF
64,DE0007276503,SECUNET SECURITY AG O.N.,
65,NL0012044747,SHOP APOTHEKE EUROPE INH.,SHPPF
66,CA82509L1076,SHOPIFY A SUB.VTG,SHOP
67,DE0007236101,SIEMENS AG  NA O.N.,SMAWF
68,DE000A0DJ6J9,SMA SOLAR TECHNOL.AG,SMTGF
69,US8334451098,"SNOWFLAKE INC. A DL-,0001",SNOW
70,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT
71,IL0011267213,STRATASYS LTD,SSYS
72,DE000A2YN900,TEAMVIEWER AG  INH O.N.,TMVWF
73,US87918A1051,TELADOC HEALTH INC.DL-001,TDOC
74,KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF
75,US88160R1014,"TESLA INC. DL -,001",TSLA
76,US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO
77,US90138F1021,TWILIO INC.,TWLO
78,US90364P1057,"UIPATH INC.   A DL-,00001",PATH
79,US91332U1016,"UNITY SOFTWARE DL-,000005",U
80,DE000A0TGJ55,VARTA AG O.N.,VARGF
81,DE000A0BL849,VITA 34 AG NA O.N.,VTIAF
82,DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF
83,US98980L1017,"ZOOM VIDEO COMM. A -,001",ZM
84,DE0002635307,ISH.STOX.EUROPE 600 U.ETF,DJXXF
85,IE00B8GKDB10,VA.FTSE A.W.H.D.Y.UETFDLD,VNGGF
86,IE00B3RBWM25,VANG.FTSE A.-WO.U.ETF DLD,VFPEF
87,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,
88,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,
