,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.409,224.572833792
1,US00724F1012,ADOBE INC.,ADBE,20.786,316.916105216
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,12.014,178.448531456
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,14.62,55.592226816
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.838,97.446821888
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,7.812,1971.937083392
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,4.022,1815.41732352
7,US0378331005,APPLE INC.,AAPL,6.987,2478.062174208
8,US0382221051,APPLIED MATERIALS INC.,AMAT,6.349,138.852417536
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,84.465,25.803147264
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,19.245,355.290447872
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,49.131,111.90341632
12,US0527691069,AUTODESK INC.,ADSK,17.944,72.686804992
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.114,56.1210368
14,CA0585861085,BALLARD PWR SYS,BLDP,46.772,5.086086656
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,1.767,7.4528384
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,248842.31,6.420756992
17,US08862E1091,BEYOND MEAT INC.,BYND,14.197,6.126188544
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,7.536,56.09054208
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.787,228.858494976
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,11.168,9.464441856
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.656,112.671694848
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,11.832,18.804260864
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,13.919,91.342856192
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,5.135,7.04851968
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,26.128,31.998427136
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.893,22.678224896
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,10.331,17.043211264
29,US30303M1027,"FACEBOOK INC.A DL-,000006",FB,7.986,932.612866048
30,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,2.971,16.921887744
31,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,14.984,62.01202688
32,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,6.441,62.795751424
33,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,23.041,131.027386368
34,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,14.288,4.594589184
35,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.845,2.597516288
36,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
38,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
39,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,54452.69,2.726035712
40,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,16.56,43.851001856
