ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
US0028241000,ABBOTT LABS,ABT,4.259,161.128169472
US00724F1012,ADOBE INC.,ADBE,12.069,231.347027968
US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,6.965,155.79906048
US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,3.529,14.613344256
DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.163,93.027893248
US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,4.893,1536.14483456
US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.567,1320.065171456
US0378331005,APPLE INC.,AAPL,6.972,2629.985107968
US0382221051,APPLIED MATERIALS INC.,AMAT,4.122,109.836918784
US04342Y1047,ASANA INC. CL.A O.N.,ASAN,6.128,3.969581312
NL0010273215,"ASML HOLDING    EO -,09",ASMLF,8.618,233.035563008
US0494681010,ATLASSIAN CORP. CL.A,TEAM,12.601,45.5646208
US0527691069,AUTODESK INC.,ADSK,8.117,41.716043776
US0567521085,"BAIDU A ADR DL-,000000625",BIDU,1.675,38.269026304
CA0585861085,BALLARD PWR SYS,BLDP,1.999,0.947383808
DE000BASF111,BASF SE NA O.N.,BFFAF,0.765,39.091019776
DE000BAY0017,BAYER AG NA O.N.,BAYZF,1.667,42.145992704
US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,6.711,1.474694784
US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
US08862E1091,BEYOND MEAT INC.,BYND,3.896,0.3843832
US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,0.702,21.867114496
US8522341036,BLOCK INC. A,SQ,1.213,24.41524224
US11135F1012,"BROADCOM INC.     DL-,001",AVGO,10.547,346.020511744
US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,2.929,2.510320896
CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.066,94.465933312
DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,3.618,7.368116224
US18915M1071,"CLOUDFLARE INC. A DL-,001",NET,16.3,18.498965504
US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,5.86,16.787316736
CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,9.133,3.076397824
US22788C1053,"CROWDSTRIKE HLD. DL-,0005",CRWD,14.73,41.26734336
DE0005810055,DEUTSCHE BOERSE NA O.N.,DBOEF,,30.105255936
DE0005552004,DEUTSCHE POST AG NA O.N.,DPSTF,0.733,46.502289408
DE0005557508,DT.TELEKOM AG NA,DTEGF,2.459,108.603768832
DE0006095003,ENCAVIS AG  INH. O.N.,ENCVF,7.196,2.127206272
US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,3.947,11.209472
FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,1.824,9.321914368
US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,5.47,10.789313536
US31189P1021,"FATE THERAPEUTICS DL-,001",FATE,-0.914,0.162627952
DE0005785604,FRESENIUS SE+CO.KGAA O.N.,FSNUF,1.237,14.54785536
US37637K1088,"GITLAB CL.A   DL-,0000025",GTLB,11.141,6.534528512
DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,0.635,4.580989952
