,ISIN,Wertpapiername,Ticker
0,US0028241000,ABBOTT LABS,ABT
1,US00724F1012,ADOBE INC.,ADBE
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN
7,US0378331005,APPLE INC.,AAPL
8,US0382221051,APPLIED MATERIALS INC.,AMAT
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM
12,US0527691069,AUTODESK INC.,ADSK
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU
14,CA0585861085,BALLARD PWR SYS,BLDP
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM
17,US08862E1091,BEYOND MEAT INC.,BYND
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP
25,DE0006095003,ENCAVIS AG  INH. O.N.,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS
29,US30303M1027,"FACEBOOK INC.A DL-,000006",FB
30,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF
31,US4523271090,"ILLUMINA INC.      DL-,01",ILMN
32,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF
33,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG
34,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA
35,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS
36,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,
37,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,
38,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,
39,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH
40,US5951121038,"MICRON TECHN. INC. DL-,10",MU
41,US5949181045,"MICROSOFT    DL-,00000625",MSFT
42,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF
43,US64110L1061,"NETFLIX INC.      DL-,001",NFLX
44,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA
45,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO
46,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB
47,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR
48,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL
49,US7437131094,"PROTO LABS INC.   DL-,001",PRLB
50,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU
51,US79466L3024,"SALESFORCE.COM    DL-,001",CRM
52,DE0007164600,SAP SE O.N.,SAPGF
53,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF
54,DE0007276503,SECUNET SECURITY AG O.N.,
55,NL0012044747,SHOP APOTHEKE EUROPE INH.,SHPPF
56,CA82509L1076,SHOPIFY A SUB.VTG,SHOP
57,DE0007236101,SIEMENS AG  NA O.N.,SMAWF
58,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT
59,US8522341036,SQUARE INC. A,SQ
60,IL0011267213,STRATASYS LTD,SSYS
61,DE000A2YN900,TEAMVIEWER AG  INH O.N.,TMVWF
62,US87918A1051,TELADOC HEALTH INC.DL-001,TDOC
63,KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF
64,US88160R1014,"TESLA INC. DL -,001",TSLA
65,US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO
66,US90138F1021,TWILIO INC.,TWLO
67,US90364P1057,"UIPATH INC.   A DL-,00001",PATH
68,US91332U1016,"UNITY SOFTWARE DL-,000005",U
69,DE000A0TGJ55,VARTA AG O.N.,VARGF
70,DE000A0BL849,VITA 34 AG NA O.N.,VTIAF
71,DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF
72,US98954M2008,"ZILLOW GROUP C CAP.DL-,01",Z
