,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.641,228.853317632
1,US00724F1012,ADOBE INC.,ADBE,20.548,320.72728576
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,10.976,166.046367744
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,13.838,53.561761792
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.829,96.900595712
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,7.775,1947.348762624
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.86,1763.35355904
7,US0378331005,APPLE INC.,AAPL,6.972,2485.40561408
8,US0382221051,APPLIED MATERIALS INC.,AMAT,6.231,135.556734976
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,82.585,24.214243328
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,19.235,348.849668096
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,49.714,113.515978752
12,US0527691069,AUTODESK INC.,ADSK,17.066,70.125551616
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.111,56.587436032
14,CA0585861085,BALLARD PWR SYS,BLDP,43.667,5.43428608
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,1.767,7.4528384
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,237023.08,6.201136128
17,US08862E1091,BEYOND MEAT INC.,BYND,14.858,6.48484096
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,8.52,71.641882624
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.627,225.820770304
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,11.124,9.543820288
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.634,114.911961088
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,11.86,18.941732864
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,14.233,90.211459072
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,5.199,7.382368256
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,25.577,32.7296512
